frame,ball_x,ball_y,ball_z
0,-1.0,-1.0,-1.0
1,-1.0,-1.0,-1.0
2,-1.0,-1.0,-1.0
3,-1.0,-1.0,-1.0
4,-1.0,-1.0,-1.0
5,-1.0,-1.0,-1.0
6,-1.0,-1.0,-1.0
7,-1.0,-1.0,-1.0
8,-1.0,-1.0,-1.0
9,-1.0,-1.0,-1.0
10,-1.0,-1.0,-1.0
11,-1.0,-1.0,-1.0
12,-1.0,-1.0,-1.0
13,-1.0,-1.0,-1.0
14,-1.0,-1.0,-1.0
15,-1.0,-1.0,-1.0
16,-1.0,-1.0,-1.0
17,-1.0,-1.0,-1.0
18,-1.0,-1.0,-1.0
19,-1.0,-1.0,-1.0
20,-1.0,-1.0,-1.0
21,-1.0,-1.0,-1.0
22,-1.0,-1.0,-1.0
23,-1.0,-1.0,-1.0
24,-1.0,-1.0,-1.0
25,-1.0,-1.0,-1.0
26,-1.0,-1.0,-1.0
27,-1.0,-1.0,-1.0
28,-1.0,-1.0,-1.0
29,-1.0,-1.0,-1.0
30,-1.0,-1.0,-1.0
31,-1.0,-1.0,-1.0
32,-1.0,-1.0,-1.0
33,-1.0,-1.0,-1.0
34,-1.0,-1.0,-1.0
35,-1.0,-1.0,-1.0
36,-1.0,-1.0,-1.0
37,-1.0,-1.0,-1.0
38,-1.0,-1.0,-1.0
39,-1.0,-1.0,-1.0
40,-1.0,-1.0,-1.0
41,-1.0,-1.0,-1.0
42,-1.0,-1.0,-1.0
43,-1.0,-1.0,-1.0
44,-1.0,-1.0,-1.0
45,-1.0,-1.0,-1.0
46,-1.0,-1.0,-1.0
47,-1.0,-1.0,-1.0
48,-1.0,-1.0,-1.0
49,-1.0,-1.0,-1.0
50,-1.0,-1.0,-1.0
51,-1.0,-1.0,-1.0
52,-1.0,-1.0,-1.0
53,-1.0,-1.0,-1.0
54,-1.0,-1.0,-1.0
55,-1.0,-1.0,-1.0
56,-1.0,-1.0,-1.0
57,-1.0,-1.0,-1.0
58,-1.0,-1.0,-1.0
59,-1.0,-1.0,-1.0
60,-1.0,-1.0,-1.0
61,-1.0,-1.0,-1.0
62,-1.0,-1.0,-1.0
63,-1.0,-1.0,-1.0
64,-1.0,-1.0,-1.0
65,-1.0,-1.0,-1.0
66,-1.0,-1.0,-1.0
67,-1.0,-1.0,-1.0
68,-1.0,-1.0,-1.0
69,-1.0,-1.0,-1.0
70,-1.0,-1.0,-1.0
71,-1.0,-1.0,-1.0
72,-1.0,-1.0,-1.0
73,-1.0,-1.0,-1.0
74,-1.0,-1.0,-1.0
75,3.2271277496244974,10.829300479326491,1.7
76,3.0404650083861897,9.582785702054206,1.8254952824973139
77,2.917752335037559,8.763322965822498,1.8987746024606387
78,2.8260512171204475,8.15095223871453,1.9439072396869796
79,2.7527550833757872,7.661488121646834,1.9701069612338444
80,2.6916705542206114,7.253571856464394,1.9819013871108295
81,2.6392910866803407,6.903787106270217,1.9818559384631182
82,2.5934384214681447,6.597587677368913,1.9715680045995319
83,2.5526677513631686,6.325325294270921,1.9521032214236778
84,2.5159729165987725,6.0802809245164395,1.9242126461883058
85,2.482626472246317,5.857596764951046,1.8884514779731993
86,2.452086692232386,5.65365522402291,1.845248915779218
87,2.4239404210235644,5.46569729115339,1.7949517997066835
88,2.3978663207786513,5.291577104962252,1.737853234600938
89,2.3736103099391515,5.129597934676137,1.6742120854160925
90,2.3509685969837855,4.9783988812689595,1.6042665934677944
91,2.3297756176998385,4.836874323788368,1.5282439797884964
92,2.3098952406741073,4.704115190519881,1.4463671520128283
93,2.2912142162916096,4.579365212067365,1.3588592185522799
94,2.2736372096445057,4.461987751624648,1.265946287468438
95,2.257082982059193,4.351440305602324,1.1678589049722816
96,2.197970179779582,5.3494879463485665,1.4309136540355
97,2.1512597301448526,6.138136974280347,1.6289459058063098
98,2.112606968236004,6.790741762816303,1.7828048663034501
99,2.079613579653626,7.3477949283743635,1.903995840010109
100,2.05081438460778,7.834034246465556,1.9995441089347208
101,2.025248511125733,8.265682869579084,2.074053952432017
102,2.002251884053541,8.653952897549633,2.130705453422414
103,1.9813466603980192,9.006912127091404,2.1717860485585407
104,1.96217785969128,9.330553970880203,2.1989956291168156
105,1.9444748976057755,9.629446915594347,2.213632193277815
106,1.9280271249536318,9.907147516106486,2.2167103547083973
107,1.9126676614418407,10.16647334282944,2.2090401066659484
108,1.8982623570050214,10.409689356162614,2.1912810241858636
109,1.8847020390003806,10.63863880315861,2.1639807159642066
110,1.87189693049151,10.854837458000356,2.127602839550472
111,1.8597725413201363,11.059542996248084,2.0825479867101966
112,1.8482665814873465,11.253807108636442,2.0291695507070493
113,1.8373265988441834,11.438515385790467,1.9677859530862412
114,1.8269081397339928,11.614418373538417,1.8986901456292125
115,2.148750227477474,10.345652498786094,2.3522434571904673
116,2.3851604195791074,9.413676242090723,2.6758330969199
117,2.5723445000601366,8.675759162083109,2.922204470782162
